ctype,ctype_error,rel_corr_error
brightness,3.8475336322869955,1.8606557377049202
contrast,1.4544684455739092,0.678719008264463
defocus_blur,1.4901960784313726,0.5696594427244585
elastic_transform,1.9895498392282958,0.43345543345543386
fog,1.4113438937148697,0.41906005221932136
frost,1.5364269141531324,0.6884393063583818
gaussian_noise,1.2256873204759953,0.4309145129224655
glass_blur,1.2889752306945117,0.3268053855569156
impulse_noise,1.1018688164162698,0.3849826388888892
jpeg_compression,1.9866457187745485,0.4823113207547176
motion_blur,1.3306024096385543,0.3884848484848488
pixelate,1.4735162731333757,0.1654991243432577
shot_noise,1.1768653770232924,0.4084440227703985
snow,1.5466441536513298,0.7942386831275723
zoom_blur,1.2577319587628868,0.37984496124031036
speckle_noise,1.364517692680562,0.42429792429792434
gaussian_blur,1.5759999999999998,0.5758620689655174
spatter,1.9472668810289386,0.8035398230088495
saturate,3.053486150907354,1.731511254019293
Clean,0.42399999999999993,0.0
MCE,1.6873329887671682,0.6287750289004178
