ctype,ctype_error,rel_corr_error
brightness,1.4110612855007472,1.2663934426229502
contrast,1.0012706480304956,0.8930785123966942
defocus_blur,1.4534313725490196,1.4427244582043344
elastic_transform,0.9863344051446944,0.7228327228327225
fog,0.7184466019417474,0.5032637075718014
frost,0.9948955916473317,0.8722543352601155
gaussian_noise,1.315962248666393,1.2783300198807157
glass_blur,1.1083050024283634,1.0079559363525092
impulse_noise,1.3279589593257606,1.2973090277777781
jpeg_compression,0.9827179890023566,0.7264150943396226
motion_blur,1.0534939759036144,0.9400000000000001
pixelate,0.7428206764518187,0.4632224168126094
shot_noise,1.3497828661666007,1.320683111954459
snow,0.9501899535669059,0.8312757201646092
zoom_blur,1.0291349170775437,0.9197120708748615
speckle_noise,1.489578284052351,1.4884004884004884
gaussian_blur,1.439466666666667,1.4234482758620692
spatter,1.147266881028939,1.0168141592920354
saturate,1.6217765042979944,1.7090032154340837
Clean,0.127,0.0
MCE,1.164415517339439,1.059111406107077
