ctype,ctype_error,rel_corr_error
brightness,0.8819133034379668,0.8811475409836068
contrast,0.7767894959762812,0.7536157024793391
defocus_blur,1.0078431372549022,1.040866873065016
elastic_transform,0.7210610932475885,0.6373626373626377
fog,0.5743484925907,0.4889033942558748
frost,0.625986078886311,0.5630057803468211
gaussian_noise,0.8572014772260976,0.8518886679920479
glass_blur,0.8499271491015056,0.8414932680538557
impulse_noise,0.8105533162330525,0.797309027777778
jpeg_compression,0.7062058130400627,0.6179245283018869
motion_blur,0.7681927710843374,0.7387878787878789
pixelate,0.5737077217613274,0.45884413309982514
shot_noise,0.9024871693643901,0.9065464895635675
snow,0.7766990291262134,0.7536008230452673
zoom_blur,0.8363962348722546,0.8255813953488373
speckle_noise,0.8967523024721279,0.9004884004884006
gaussian_blur,0.9850666666666665,1.0151724137931035
spatter,0.8218649517684885,0.7991150442477876
saturate,0.9751671442215853,1.0385852090032155
Clean,0.07499999999999996,0.0
MCE,0.8077980709648347,0.7847494319998288
