ctype,ctype_error,rel_corr_error
brightness,1.4185351270553066,1.8401639344262306
contrast,0.711139347734011,0.6089876033057852
defocus_blur,1.1607843137254903,1.1566563467492263
elastic_transform,0.9204180064308684,0.7875457875457879
fog,0.6443536024527337,0.49673629242819844
frost,0.7359628770301625,0.6277456647398846
gaussian_noise,0.7197373820270825,0.6232604373757457
glass_blur,1.0101991257892182,0.9669522643818852
impulse_noise,0.7189446683766948,0.6345486111111112
jpeg_compression,0.7949725058915945,0.6037735849056605
motion_blur,0.8901204819277109,0.8163636363636365
pixelate,0.6509253350350989,0.45534150612959723
shot_noise,0.7319384129490722,0.642314990512334
snow,0.8535246939636977,0.7829218106995885
zoom_blur,0.8874943971313312,0.8194905869324475
speckle_noise,0.7440620455647114,0.6318681318681317
gaussian_blur,1.1461333333333334,1.137241379310345
spatter,0.8700964630225079,0.7548672566371681
saturate,1.361986628462273,1.4887459807073953
Clean,0.09999999999999998,0.0
MCE,0.8932278288369948,0.8355539897963241
