ctype,ctype_error
brightness,0.1338
contrast,0.4722
defocus_blur,0.408
elastic_transform,0.2488
fog,0.3914
frost,0.431
gaussian_noise,0.4874
glass_blur,0.4118
impulse_noise,0.5458
jpeg_compression,0.2546
motion_blur,0.415
pixelate,0.3134
shot_noise,0.5066
snow,0.4738
zoom_blur,0.4462
speckle_noise,0.4126
gaussian_blur,0.375
spatter,0.311
saturate,0.2094
Clean,0.085
MCE,0.381463158
