ctype,ctype_error,rel_corr_error
brightness,1.1150971599402093,1.418032786885247
contrast,0.6467598475222364,0.5821280991735539
defocus_blur,1.0480392156862746,1.0761609907120746
elastic_transform,0.7596463022508039,0.6654456654456657
fog,0.5728155339805825,0.47062663185378595
frost,0.6060324825986079,0.523699421965318
gaussian_noise,0.5662700041034059,0.48707753479125265
glass_blur,0.8358426420592521,0.8084455324357407
impulse_noise,0.5635764016123123,0.4939236111111112
jpeg_compression,0.7596229379418696,0.6686320754716986
motion_blur,0.830843373493976,0.8024242424242426
pixelate,0.6247606892150606,0.5070052539404554
shot_noise,0.6028424792735886,0.534629981024668
snow,0.715913887716336,0.6666666666666669
zoom_blur,0.8444643657552667,0.8217054263565894
speckle_noise,0.6083373727581192,0.5219780219780221
gaussian_blur,1.0218666666666667,1.0455172413793106
spatter,0.6790996784565917,0.5805309734513276
saturate,1.1289398280802292,1.2572347266881032
Clean,0.07999999999999996,0.0
MCE,0.7647774141637572,0.7332560465134124
