ctype,ctype_error,rel_corr_error
brightness,0.8026905829596412,0.9098360655737716
contrast,0.8852181279119016,0.9168388429752066
defocus_blur,0.9098039215686274,0.9541795665634677
elastic_transform,0.7765273311897105,0.794871794871795
fog,0.7107818088911599,0.7023498694516973
frost,0.7883990719257541,0.8000000000000002
gaussian_noise,1.2457940090274928,1.3523856858846919
glass_blur,0.8557552209810588,0.885556915544676
impulse_noise,1.2110663246610482,1.297743055555556
jpeg_compression,0.7533385703063629,0.7594339622641512
motion_blur,0.811566265060241,0.8296969696969699
pixelate,0.6585832801531588,0.6278458844133101
shot_noise,1.2664824318989338,1.3723908918406071
snow,0.8737864077669903,0.902777777777778
zoom_blur,0.8171223666517257,0.8349944629014399
speckle_noise,1.3262239457101308,1.4780219780219783
gaussian_blur,0.9141333333333334,0.9648275862068968
spatter,0.8102893890675241,0.8362831858407083
saturate,0.9961795606494744,1.1704180064308682
Clean,0.06299999999999994,0.0
MCE,0.9165127341954878,0.9679185527271352
