ctype,ctype_error,rel_corr_error
brightness,0.8295964125560535,0.737704918032787
contrast,0.9894112664125372,1.0129132231404963
defocus_blur,1.1784313725490196,1.2563467492260065
elastic_transform,0.740353697749196,0.6666666666666667
fog,0.7312212570260602,0.689295039164491
frost,0.9535962877030162,0.9710982658959539
gaussian_noise,1.2384078785391874,1.3136182902584492
glass_blur,1.0364254492472074,1.0764993880048963
impulse_noise,1.2264565775009162,1.2899305555555558
jpeg_compression,0.7918303220738413,0.7464622641509437
motion_blur,0.96,0.9800000000000002
pixelate,0.6547543075941289,0.5700525394045536
shot_noise,1.239242005527043,1.3111954459203037
snow,0.8915154073448712,0.8935185185185187
zoom_blur,0.976692066337965,0.9988925802879293
speckle_noise,1.279205041202133,1.3821733821733824
gaussian_blur,1.1541333333333335,1.233793103448276
spatter,0.9086816720257234,0.9185840707964603
saturate,1.0926456542502387,1.2363344051446947
Clean,0.07499999999999996,0.0
MCE,0.9932947373143405,1.0150041792521245
