ctype,ctype_error,rel_corr_error
brightness,1.1808669656203286,1.3729508196721314
contrast,0.9699279966116051,0.9478305785123967
defocus_blur,1.1127450980392157,1.123839009287926
elastic_transform,0.9083601286173633,0.8241758241758242
fog,0.6806336228921818,0.5724543080939948
frost,1.0965197215777263,1.1028901734104046
gaussian_noise,1.1690603200656546,1.18986083499006
glass_blur,1.0543953375424964,1.0501835985312118
impulse_noise,1.1707585196042507,1.1892361111111114
jpeg_compression,1.0911233307148467,1.1014150943396226
motion_blur,0.8395180722891566,0.7800000000000001
pixelate,0.7887683471601786,0.6838879159369529
shot_noise,1.1314646664034742,1.1437381404174574
snow,0.9662304769945125,0.9434156378600824
zoom_blur,0.7987449574181982,0.7347729789590256
speckle_noise,1.1313620940378089,1.1471306471306473
gaussian_blur,1.1178666666666668,1.1317241379310348
spatter,1.047588424437299,1.0389380530973453
saturate,1.0487106017191978,1.033762057877814
Clean,0.09099999999999997,0.0
MCE,1.0160339657059032,1.0059055748071075
