ctype,sev_level,Acc,Error_rate
brightness,1,0.874,0.126
brightness,2,0.86,0.14
brightness,3,0.834,0.16600000000000004
brightness,4,0.778,0.22199999999999998
brightness,5,0.705,0.29500000000000004
contrast,1,0.851,0.14900000000000002
contrast,2,0.8260000000000001,0.17399999999999993
contrast,3,0.775,0.22499999999999998
contrast,4,0.56,0.43999999999999995
contrast,5,0.309,0.6910000000000001
defocus_blur,1,0.785,0.21499999999999997
defocus_blur,2,0.705,0.29500000000000004
defocus_blur,3,0.493,0.507
defocus_blur,4,0.359,0.641
defocus_blur,5,0.29,0.71
elastic_transform,1,0.853,0.14700000000000002
elastic_transform,2,0.723,0.277
elastic_transform,3,0.853,0.14700000000000002
elastic_transform,4,0.811,0.18899999999999995
elastic_transform,5,0.615,0.385
fog,1,0.851,0.14900000000000002
fog,2,0.8270000000000001,0.17299999999999993
fog,3,0.784,0.21599999999999997
fog,4,0.719,0.281
fog,5,0.558,0.44199999999999995
frost,1,0.81,0.18999999999999995
frost,2,0.733,0.267
frost,3,0.651,0.349
frost,4,0.634,0.366
frost,5,0.586,0.41400000000000003
gaussian_noise,1,0.8230000000000001,0.17699999999999994
gaussian_noise,2,0.763,0.237
gaussian_noise,3,0.68,0.31999999999999995
gaussian_noise,4,0.5710000000000001,0.42899999999999994
gaussian_noise,5,0.40900000000000003,0.591
glass_blur,1,0.8140000000000001,0.18599999999999994
glass_blur,2,0.72,0.28
glass_blur,3,0.552,0.44799999999999995
glass_blur,4,0.468,0.532
glass_blur,5,0.366,0.634
impulse_noise,1,0.751,0.249
impulse_noise,2,0.7010000000000001,0.29899999999999993
impulse_noise,3,0.636,0.364
impulse_noise,4,0.54,0.45999999999999996
impulse_noise,5,0.41000000000000003,0.59
jpeg_compression,1,0.861,0.139
jpeg_compression,2,0.851,0.14900000000000002
jpeg_compression,3,0.8300000000000001,0.16999999999999993
jpeg_compression,4,0.761,0.239
jpeg_compression,5,0.685,0.31499999999999995
motion_blur,1,0.838,0.16200000000000003
motion_blur,2,0.762,0.238
motion_blur,3,0.634,0.366
motion_blur,4,0.496,0.504
motion_blur,5,0.423,0.577
pixelate,1,0.864,0.136
pixelate,2,0.862,0.138
pixelate,3,0.8140000000000001,0.18599999999999994
pixelate,4,0.743,0.257
pixelate,5,0.6970000000000001,0.30299999999999994
shot_noise,1,0.8150000000000001,0.18499999999999994
shot_noise,2,0.745,0.255
shot_noise,3,0.654,0.346
shot_noise,4,0.529,0.471
shot_noise,5,0.403,0.597
snow,1,0.764,0.236
snow,2,0.645,0.355
snow,3,0.61,0.39
snow,4,0.47500000000000003,0.5249999999999999
snow,5,0.484,0.516
zoom_blur,1,0.758,0.242
zoom_blur,2,0.667,0.33299999999999996
zoom_blur,3,0.584,0.41600000000000004
zoom_blur,4,0.536,0.46399999999999997
zoom_blur,5,0.47500000000000003,0.5249999999999999
speckle_noise,1,0.838,0.16200000000000003
speckle_noise,2,0.783,0.21699999999999997
speckle_noise,3,0.685,0.31499999999999995
speckle_noise,4,0.627,0.373
speckle_noise,5,0.532,0.46799999999999997
gaussian_blur,1,0.857,0.14300000000000002
gaussian_blur,2,0.739,0.261
gaussian_blur,3,0.578,0.42200000000000004
gaussian_blur,4,0.40800000000000003,0.592
gaussian_blur,5,0.269,0.731
spatter,1,0.871,0.129
spatter,2,0.804,0.19599999999999995
spatter,3,0.743,0.257
spatter,4,0.676,0.32399999999999995
spatter,5,0.553,0.44699999999999995
saturate,1,0.806,0.19399999999999995
saturate,2,0.728,0.272
saturate,3,0.8140000000000001,0.18599999999999994
saturate,4,0.668,0.33199999999999996
saturate,5,0.558,0.44199999999999995
