ctype,sev_level,Acc,Error_rate
brightness,1,0.541,0.45899999999999996
brightness,2,0.525,0.475
brightness,3,0.492,0.508
brightness,4,0.461,0.5389999999999999
brightness,5,0.40700000000000003,0.593
contrast,1,0.458,0.542
contrast,2,0.41000000000000003,0.59
contrast,3,0.335,0.665
contrast,4,0.215,0.785
contrast,5,0.148,0.852
defocus_blur,1,0.514,0.486
defocus_blur,2,0.481,0.519
defocus_blur,3,0.405,0.595
defocus_blur,4,0.317,0.683
defocus_blur,5,0.243,0.757
elastic_transform,1,0.497,0.503
elastic_transform,2,0.444,0.556
elastic_transform,3,0.542,0.45799999999999996
elastic_transform,4,0.537,0.46299999999999997
elastic_transform,5,0.505,0.495
fog,1,0.513,0.487
fog,2,0.497,0.503
fog,3,0.47500000000000003,0.5249999999999999
fog,4,0.422,0.5780000000000001
fog,5,0.331,0.669
frost,1,0.453,0.5469999999999999
frost,2,0.374,0.626
frost,3,0.301,0.6990000000000001
frost,4,0.293,0.7070000000000001
frost,5,0.268,0.732
gaussian_noise,1,0.507,0.493
gaussian_noise,2,0.47800000000000004,0.522
gaussian_noise,3,0.42,0.5800000000000001
gaussian_noise,4,0.34,0.6599999999999999
gaussian_noise,5,0.268,0.732
glass_blur,1,0.532,0.46799999999999997
glass_blur,2,0.511,0.489
glass_blur,3,0.47800000000000004,0.522
glass_blur,4,0.455,0.5449999999999999
glass_blur,5,0.37,0.63
impulse_noise,1,0.498,0.502
impulse_noise,2,0.449,0.5509999999999999
impulse_noise,3,0.433,0.567
impulse_noise,4,0.353,0.647
impulse_noise,5,0.26,0.74
jpeg_compression,1,0.513,0.487
jpeg_compression,2,0.508,0.492
jpeg_compression,3,0.504,0.496
jpeg_compression,4,0.49,0.51
jpeg_compression,5,0.456,0.544
motion_blur,1,0.525,0.475
motion_blur,2,0.488,0.512
motion_blur,3,0.461,0.5389999999999999
motion_blur,4,0.397,0.603
motion_blur,5,0.368,0.632
pixelate,1,0.542,0.45799999999999996
pixelate,2,0.539,0.46099999999999997
pixelate,3,0.546,0.45399999999999996
pixelate,4,0.537,0.46299999999999997
pixelate,5,0.527,0.473
shot_noise,1,0.503,0.497
shot_noise,2,0.465,0.5349999999999999
shot_noise,3,0.426,0.5740000000000001
shot_noise,4,0.336,0.6639999999999999
shot_noise,5,0.289,0.7110000000000001
snow,1,0.376,0.624
snow,2,0.278,0.722
snow,3,0.273,0.727
snow,4,0.199,0.8009999999999999
snow,5,0.21,0.79
zoom_blur,1,0.498,0.502
zoom_blur,2,0.47600000000000003,0.524
zoom_blur,3,0.44,0.56
zoom_blur,4,0.41100000000000003,0.589
zoom_blur,5,0.369,0.631
speckle_noise,1,0.523,0.477
speckle_noise,2,0.496,0.504
speckle_noise,3,0.431,0.569
speckle_noise,4,0.391,0.609
speckle_noise,5,0.34400000000000003,0.6559999999999999
gaussian_blur,1,0.543,0.45699999999999996
gaussian_blur,2,0.489,0.511
gaussian_blur,3,0.425,0.575
gaussian_blur,4,0.34500000000000003,0.655
gaussian_blur,5,0.243,0.757
spatter,1,0.53,0.47
spatter,2,0.443,0.5569999999999999
spatter,3,0.41100000000000003,0.589
spatter,4,0.321,0.679
spatter,5,0.267,0.733
saturate,1,0.389,0.611
saturate,2,0.318,0.6819999999999999
saturate,3,0.466,0.534
saturate,4,0.337,0.663
saturate,5,0.293,0.7070000000000001
