Corruptions,Severity,FT-O-AugMix,Baseline (fc-O),FT-O,FT-F20,FT-F20C,FT-F20C-AugMix,FT-F5C,FT-F100C,FT-FALLC,FT-FALLC-AugMix
snow,1,0.291,0.251,0.252,0.277,0.197,0.234,0.222,0.236,0.197,0.258
snow,2,0.465,0.449,0.412,0.43,0.34,0.36,0.394,0.355,0.297,0.432
snow,3,0.442,0.432,0.404,0.406,0.344,0.355,0.379,0.39,0.321,0.414
snow,4,0.507,0.564,0.463,0.516,0.428,0.471,0.495,0.525,0.415,0.528
snow,5,0.584,0.673,0.581,0.622,0.531,0.536,0.58,0.516,0.466,0.603
zoom_blur,1,0.236,0.302,0.293,0.318,0.235,0.227,0.236,0.242,0.222,0.239
zoom_blur,2,0.318,0.411,0.397,0.403,0.305,0.301,0.311,0.333,0.295,0.31
zoom_blur,3,0.359,0.457,0.44,0.465,0.383,0.344,0.37,0.416,0.38,0.339
zoom_blur,4,0.408,0.503,0.504,0.539,0.442,0.398,0.429,0.464,0.451,0.419
zoom_blur,5,0.461,0.558,0.545,0.571,0.501,0.453,0.477,0.525,0.536,0.472
speckle_noise,1,0.248,0.176,0.204,0.26,0.138,0.179,0.239,0.162,0.129,0.149
speckle_noise,2,0.3,0.225,0.324,0.373,0.17,0.211,0.338,0.217,0.164,0.174
speckle_noise,3,0.481,0.431,0.615,0.728,0.372,0.355,0.606,0.315,0.254,0.25
speckle_noise,4,0.594,0.55,0.718,0.828,0.519,0.47,0.733,0.373,0.313,0.322
speckle_noise,5,0.711,0.681,0.778,0.884,0.651,0.572,0.82,0.468,0.395,0.397
gaussian_blur,1,0.142,0.114,0.131,0.214,0.115,0.149,0.109,0.143,0.122,0.147
gaussian_blur,2,0.304,0.227,0.251,0.401,0.216,0.261,0.202,0.261,0.228,0.235
gaussian_blur,3,0.434,0.37,0.432,0.57,0.365,0.392,0.324,0.422,0.342,0.34
gaussian_blur,4,0.521,0.503,0.591,0.703,0.485,0.529,0.456,0.592,0.506,0.438
gaussian_blur,5,0.695,0.661,0.759,0.811,0.666,0.69,0.623,0.731,0.718,0.613
spatter,1,0.127,0.098,0.093,0.155,0.089,0.118,0.093,0.129,0.091,0.108
spatter,2,0.246,0.226,0.187,0.249,0.162,0.197,0.143,0.196,0.15,0.172
spatter,3,0.344,0.298,0.272,0.343,0.226,0.267,0.214,0.257,0.207,0.238
spatter,4,0.412,0.408,0.367,0.465,0.343,0.341,0.355,0.324,0.252,0.301
spatter,5,0.5,0.525,0.494,0.572,0.458,0.462,0.455,0.447,0.356,0.428
saturate,1,0.21,0.163,0.203,0.256,0.171,0.205,0.174,0.194,0.184,0.223
saturate,2,0.281,0.214,0.265,0.345,0.21,0.259,0.209,0.272,0.244,0.289
saturate,3,0.118,0.101,0.098,0.197,0.104,0.13,0.096,0.186,0.118,0.14
saturate,4,0.207,0.22,0.219,0.383,0.208,0.207,0.212,0.332,0.271,0.238
saturate,5,0.282,0.349,0.359,0.517,0.328,0.27,0.352,0.442,0.365,0.324
