Corruptions,Severity,FT-O-AugMix,Baseline (fc-O),FT-O,FT-F20,FT-F20C,FT-F20C-AugMix,FT-F5C,FT-F100C,FT-FALLC,FT-FALLC-AugMix
snow,1,0.709,0.749,0.748,0.723,0.803,0.766,0.778,0.764,0.803,0.742
snow,2,0.535,0.551,0.588,0.57,0.66,0.64,0.606,0.645,0.703,0.568
snow,3,0.558,0.568,0.596,0.594,0.656,0.645,0.621,0.61,0.679,0.586
snow,4,0.493,0.436,0.537,0.484,0.572,0.529,0.505,0.475,0.585,0.472
snow,5,0.416,0.327,0.419,0.378,0.469,0.464,0.42,0.484,0.534,0.397
zoom_blur,1,0.764,0.698,0.707,0.682,0.765,0.773,0.764,0.758,0.778,0.761
zoom_blur,2,0.682,0.589,0.603,0.597,0.695,0.699,0.689,0.667,0.705,0.69
zoom_blur,3,0.641,0.543,0.56,0.535,0.617,0.656,0.63,0.584,0.62,0.661
zoom_blur,4,0.592,0.497,0.496,0.461,0.558,0.602,0.571,0.536,0.549,0.581
zoom_blur,5,0.539,0.442,0.455,0.429,0.499,0.547,0.523,0.475,0.464,0.528
speckle_noise,1,0.752,0.824,0.796,0.74,0.862,0.821,0.761,0.838,0.871,0.851
speckle_noise,2,0.7,0.775,0.676,0.627,0.83,0.789,0.662,0.783,0.836,0.826
speckle_noise,3,0.519,0.569,0.385,0.272,0.628,0.645,0.394,0.685,0.746,0.75
speckle_noise,4,0.406,0.45,0.282,0.172,0.481,0.53,0.267,0.627,0.687,0.678
speckle_noise,5,0.289,0.319,0.222,0.116,0.349,0.428,0.18,0.532,0.605,0.603
gaussian_blur,1,0.858,0.886,0.869,0.786,0.885,0.851,0.891,0.857,0.878,0.853
gaussian_blur,2,0.696,0.773,0.749,0.599,0.784,0.739,0.798,0.739,0.772,0.765
gaussian_blur,3,0.566,0.63,0.568,0.43,0.635,0.608,0.676,0.578,0.658,0.66
gaussian_blur,4,0.479,0.497,0.409,0.297,0.515,0.471,0.544,0.408,0.494,0.562
gaussian_blur,5,0.305,0.339,0.241,0.189,0.334,0.31,0.377,0.269,0.282,0.387
spatter,1,0.873,0.902,0.907,0.845,0.911,0.882,0.907,0.871,0.909,0.892
spatter,2,0.754,0.774,0.813,0.751,0.838,0.803,0.857,0.804,0.85,0.828
spatter,3,0.656,0.702,0.728,0.657,0.774,0.733,0.786,0.743,0.793,0.762
spatter,4,0.588,0.592,0.633,0.535,0.657,0.659,0.645,0.676,0.748,0.699
spatter,5,0.5,0.475,0.506,0.428,0.542,0.538,0.545,0.553,0.644,0.572
saturate,1,0.79,0.837,0.797,0.744,0.829,0.795,0.826,0.806,0.816,0.777
saturate,2,0.719,0.786,0.735,0.655,0.79,0.741,0.791,0.728,0.756,0.711
saturate,3,0.882,0.899,0.902,0.803,0.896,0.87,0.904,0.814,0.882,0.86
saturate,4,0.793,0.78,0.781,0.617,0.792,0.793,0.788,0.668,0.729,0.762
saturate,5,0.718,0.651,0.641,0.483,0.672,0.73,0.648,0.558,0.635,0.676
